"LANGUAGE","Deutsch","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"LANGUAGE_CHOICE","Sprache auswählen","Heading for language selection menu."
"LANGUAGE_GAME","Spielsprache verwenden","Default selection in language selection menu."
"NOTE_CLOSE","Schließen","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Nicht erneut anzeigen","Notification button text - don't show this notification again."
"NO","Nein","Notification button text - don't perform this action."
"YES","Ja","Notification button text - perfom this action."
"PRESS_ANY_KEY","Drücke eine Taste","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Mod-Konflikt entdeckt!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Das bedeutet, dass die Mod nicht funktioniert und sich daher deaktiviert hat.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Konflikt mit folgenden Mods:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Die Mod war nicht in der Lage, die erforderlichen Harmony-Patches richtig anzuwenden.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Mögliche Ursachen für dieses Problem sind:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Die benötigte Mod Harmony 2 ist nicht installiert","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Eine alte und/oder defekte Mod verhindert, dass Harmony 2 ordnungsgemäß funktioniert","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Eine andere Mod könnte versuchen, einen widersprüchlichen Harmony-Patch anzuwenden","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Ausführliche Debug-Protokollierung aktiviert","Option to record more detail in game log"
"WHATSNEW_L1","This message is just to let you know that the mod has been updated.",""
"WHATSNEW_L2","For a detailed list of changes, please visit the Steam Workshop or GitHub.",""
"WHATSNEW_L3","Thank you for your use and support!",""
"MOD_DESCRIPTION","Drive vehicles around your very own city!",""
"SETTINGS_MAXVELOCITY","Maximum velocity",""
"SETTINGS_ACCELERATIONFORCE","Acceleration force",""
"SETTINGS_BREAKINGFORCE","Steering braking force",""
"SETTINGS_OFFSET","Camera offset",""
"SETTINGS_KEYUUITOGGLE","Toggle main panel (need to subscribe to UUI mod)",""
"SETTINGS_KEYLIGHTTOGGLE","Toggle Light",""
"MAINPANELBTN_TOOLTIP","IOperateIt Revisited",""
"DRIVEBTN_TOOLTIP","Start driving",""
"SPAWNBTN_TEXT","Spawn vehicle",""
"ROAD_SELECT","Select a road segment to start driving",""
